"Gender","Fingerprint","TimeUpx","W","H","leng","leng_sum","speed","Force","ForceUp","Rx","Ry","varX","varY","corrYX"
"f","8c47753e45070e4943f563a1d0ab5c1d",492.6,360,640,153.22318,1532.23172,0.4111,1,0,0.94898,1.24865,226.45,4509.61001,-0.44139
"f","10ee042a14d0a9cc413e2412fad579c9",106.45715,412,732,48.90442,1711.65458,0.45641,1,0,0.49524,0.6966,302.95837,2187.27837,0.36097
"f","8d3933d1a04dc4fb821ed0340b1063a8",347.88236,360,640,129.67803,2204.5264,0.49714,1,0,5.86129,5.86129,75.6609,101.47405,-0.25032
"f","8d3933d1a04dc4fb821ed0340b1063a8",192,360,640,114.30774,685.8464,0.25544,1,0,3.45459,3.45459,62.13889,460.91667,-0.57858
"f","e45faa6a06163a79f892886141473993",765.16667,320,570,278.84437,1673.06618,0.37357,1,0,0.3328,0.3328,855.80556,19586.47223,0.07164
"f","8d3933d1a04dc4fb821ed0340b1063a8",241.28572,360,640,121.4565,1700.39096,0.48775,1,0,9.25782,9.25782,1451.06633,3663.02552,-0.86254
"f","9c960c8e28004bd5a05eefd2a29f1dfe",1153.28572,360,640,80.2624,1123.67358,0.05527,1,0,0.73215,0.73215,101.7398,196.67347,0.371
"f","a1a857b5b06e372f9c815718ac340077",164.5,360,640,86.5463,1038.5556,0.55649,1,0,0.72917,0.72917,285.08334,764.30556,-0.39543
"f","e2731596e61e854d401fbeabdec5bf54",49,600,1024,47.28925,189.15699,0.1157,1,1,0.49935,0.49935,324,23256.25,1
"f","3982e38e1040697a280b9ccb9d3a4204",851,360,640,196.28216,1177.69294,0.28699,1,0,0,0,167.66667,1485.80556,-0.61608
"f","0703d9e1462f9de372465d6e32e8a27d",219.33334,360,640,55.19935,2152.77432,0.27045,1,0,3.21368,3.21368,154.36818,562.51283,0.0845
"f","0473471d75c1d93ba810f6ac619ab378",204.08334,360,640,49.23099,1772.31539,0.26913,1,0,0,0,374.79862,3607.33951,-0.20899
"f","9c960c8e28004bd5a05eefd2a29f1dfe",1770.52942,360,640,82.59417,1404.10088,0.12156,1,1,0.67648,0.67648,209.14879,127.64014,0.27534
"f","8d3933d1a04dc4fb821ed0340b1063a8",373.33334,360,640,121.486,1093.37393,0.3319,1,0,15.0115,15.0115,412.88889,1318.66667,-0.58455
"f","1b5f967569dc228c1f5ba7e2bc1f526a",237.29412,360,640,143.04201,2431.71411,0.62176,1,1,7.72692,7.72692,379.38409,3524.53288,0.11554
"f","10ee042a14d0a9cc413e2412fad579c9",144.92308,412,732,115.02632,1495.34215,0.88677,1,0,0.3077,0.55678,34.17752,832.74557,-0.7986
"f","48e06318776abcebfed529fe58ad2fcf",1741.28572,360,720,507.12814,3549.89695,0.36792,0.00953,0,0,0,240.53062,429.38776,-0.69688
"f","10ee042a14d0a9cc413e2412fad579c9",196.56522,412,732,141.51143,3254.76284,0.91165,1,0,0.34783,0.60456,118.73725,5261.73157,-0.3352
"f","afb3c1d97fbd3becef769f17581f62e9",1639.94445,360,640,153.18735,2757.37215,0.14635,1,0,4.55062,4.55062,679.05247,1510.9784,0.15496
"f","8c47753e45070e4943f563a1d0ab5c1d",271.55,360,640,102.99824,2059.96476,0.28772,1,0,1.14876,1.26114,104.81,145.09,0.40928
"f","e45faa6a06163a79f892886141473993",840.33334,320,570,283.98489,1703.90931,0.32431,1,0,0.3328,0.3328,819.66667,1224.13889,0.2203
"f","8d3933d1a04dc4fb821ed0340b1063a8",1356.88889,360,640,169.63701,6106.93219,0.18911,1,0,4.76567,4.76567,3070.20988,4479.46528,0.19435
"f","fcafb45fd3eda8100cfc558dfe9ba987",153.2,360,640,42.15257,1686.10256,0.30581,1,0,0,0,226.14001,1982.34438,-0.07325
"f","ca447ef6847a8593a4530b41066d365e",1892.2,360,640,100.82941,504.14701,0.05512,1,0,10.02609,10.02609,303.60001,395.44001,-0.67649
"f","8d3933d1a04dc4fb821ed0340b1063a8",397.125,360,640,148.34325,1186.74596,0.45056,1,0,5.0258,5.0258,19.73438,419.9375,0.15482
"f","ec02d0941d97ca01afe6dcde001f02c1",1945.75,320,534,201.76389,2421.16662,0.16322,1,0,5.05556,5.05556,1223.57639,688.88889,-0.12265
"f","48e06318776abcebfed529fe58ad2fcf",905,360,720,381.65711,3434.91396,0.66139,0.01221,0,0,0,459.50618,33302.22223,0.46632
"f","a1a857b5b06e372f9c815718ac340077",447.6,360,640,175.92395,879.61971,0.53454,1,0,0.35,0.35,130.24001,1024,0.28972
"f","2e658c07bfc2c6486041f16805960d19",3902.27778,320,570,131.64901,2369.68207,0.10843,1,1,0.3328,0.3328,3300.55556,3515.13581,-0.89371
"f","0703d9e1462f9de372465d6e32e8a27d",334.83334,360,640,247.66676,5944.00211,0.72653,1,0,2.91667,2.91667,280.49306,4256.03994,0.15992
"f","ea519105b43d50a3ca3cba627a755510",453.82353,360,640,131.64939,2238.03959,0.44318,1,1,0.82353,0.82353,718.40831,1066.46367,-0.00425
"f","10ee042a14d0a9cc413e2412fad579c9",218,412,732,121.13265,1332.45911,0.62448,1,0,0.31169,0.5368,9365.42149,1450.74381,0.583
"f","0703d9e1462f9de372465d6e32e8a27d",971.75,360,640,389.21333,1556.85332,0.85885,1,0,2.41667,2.41667,95.5,668.6875,0.35022
"f","ca447ef6847a8593a4530b41066d365e",1819.625,360,640,129.14089,3099.38136,0.20346,1,0,5.73197,5.73197,2425.0816,3426.35417,0.50193
"f","8c47753e45070e4943f563a1d0ab5c1d",841.58824,360,640,192.50129,3272.52178,0.19541,1,0,1.25371,1.39155,306.40831,1816.6436,-0.76256
