"Gender","Fingerprint","TimeUpx","W","H","leng","leng_sum","speed","Force","ForceUp","Rx","Ry","varX","varY","corrYX"
"f","3183f6f7626d168628851a35bd2de577",422.86667,320,570,193.2805,2899.20744,0.55001,1,0,1.46429,1.46429,402.93334,1121.97334,-0.75761
"f","8d3933d1a04dc4fb821ed0340b1063a8",792.83334,360,640,179.84812,1079.08868,0.23119,1,0,5.16107,5.16107,166.47223,2936.33334,-0.74137
"f","58cda9784e306b50aebf68c79eab7414",713.2029,360,640,66.358,4578.70199,0.20329,1,0,6.03331,6.03331,1107.92733,1625.44802,-0.14785
"f","8c47753e45070e4943f563a1d0ab5c1d",390.5,360,640,235.21382,1411.28289,0.88788,1,0,1.54,1.70649,174.25,1958.25,0.63755
"f","ea519105b43d50a3ca3cba627a755510",288.68422,360,640,153.85015,2923.15273,0.57761,1,1,0.39474,0.39474,354.57618,753.56233,0.36872
"f","48e06318776abcebfed529fe58ad2fcf",661.8,360,720,102.80067,1542.01003,0.05621,0.01099,0,0,0,168.62223,1089.79556,0.13074
"f","8c47753e45070e4943f563a1d0ab5c1d",1035.91667,360,640,160.46315,3851.11537,0.16381,1,0,0.84284,1.23824,16279.56771,5277.74306,0.64282
"f","8d3933d1a04dc4fb821ed0340b1063a8",1038.33334,360,640,256.19775,2305.7797,0.3873,1,0,6.29873,6.29873,70.24692,2526.88889,-0.12307
"f","48e06318776abcebfed529fe58ad2fcf",220.5,360,720,219.20592,1315.23551,0.76466,0.01177,0,0,0,235.88889,2398.80556,-0.92561
"f","8d3933d1a04dc4fb821ed0340b1063a8",398.08334,360,640,147.76603,1773.19233,0.39835,1,0,6.05593,6.05593,235.57639,1931.63889,-0.74716
"f","9c960c8e28004bd5a05eefd2a29f1dfe",8947.16667,360,640,98.98621,593.91724,0.02131,1,1,0.5,0.5,520.22223,291.47223,0.67041
"f","0703d9e1462f9de372465d6e32e8a27d",1765.04348,360,640,165.50802,3806.6843,0.08106,1,0,3.00001,3.00001,98.63517,883.62949,-0.12839
